FMCG,Quarter,Net Profit/(Loss) For the Period,Total Income From Operations,P/L Before Tax,Net Sales/Income from operations,Equity Share Capital,Non Current Asset,Current Asset,Total Asset,"P/L Before Int., Excpt. Items & Tax",Fixed Assets,Total Current Assets,Total Current Liabilities,Interest,EPS,NASDAQ INDEX,NSE FMCG Index,Crude Oil in USD,RBI Repo Rate
ASIANPAINT,2014q1,307.47,2843.01,452.05,2807.66,95.92,2607.02,3041.26,5648.28,458.44,2154.44,3041.26,2358.66,6.39,3.21,4203.66,17264.05,93.17,0.08
ASIANPAINT,2014q2,267.07,2724.04,390.39,2686.6,95.92,2699.3,3982.41,6681.71,409.13,2050.15,3982.41,2783.84,8.78,2.78,4255.12,17612.95,93.17,0.08
ASIANPAINT,2014q3,308.84,2740.73,454.36,2706.86,95.92,2699.3,3982.41,6681.71,483.78,2050.15,3982.41,2783.84,4.26,3.22,4481.14,19321.13333,93.17,0.08
ASIANPAINT,2014q4,325.67,2995.71,468.75,2953.5,95.92,2699.3,3982.41,6681.71,475.19,2050.15,3982.41,2783.84,6.44,3.39,4719.47,19849.18333,93.17,0.08
ASIANPAINT,2015q1,353.07,3025.41,512.82,2979.1,95.92,2699.3,3982.41,6681.71,520.66,2050.15,3982.41,2783.84,7.84,3.68,4833.22,20715.9,48.66,0.0775
ASIANPAINT,2015q2,339.82,2886.97,497.64,2846.2,95.92,3103.93,4169.27,7273.2,494.61,2105.03,4169.27,2757.82,8.6,3.54,4999.44,19924.58333,48.66,0.075
ASIANPAINT,2015q3,427.54,3093.2,616.49,3051.38,95.92,3103.93,4169.27,7273.2,619.28,2105.03,4169.27,2757.82,2.79,4.46,4841.65,20329.53333,48.66,0.0725
ASIANPAINT,2015q4,370.75,3224.15,541.31,3179.59,95.92,3103.93,4169.27,7273.2,545.83,2105.03,4169.27,2757.82,4.52,3.87,5056.61,20196.5,48.66,0.0675
ASIANPAINT,2016q1,423.57,3218.51,638.51,3165.63,95.92,3103.93,4169.27,7273.2,709.6,2105.03,4169.27,2757.82,5.79,4.42,4680.58,19076.13333,43.29,0.065
ASIANPAINT,2016q2,400.95,3034.56,606.79,3034.56,95.92,3866.59,4497.56,8364.15,617.14,2717.93,4497.56,3065.84,10.3,4.18,4855.36,20622.6,43.29,0.0625
ASIANPAINT,2016q3,501.18,2983.74,730.7,2937.16,95.92,3866.59,4497.56,8364.15,734.88,2717.93,4497.56,3065.84,4.18,5.23,5229.12,22126.73333,43.29,0.065
ASIANPAINT,2016q4,435.27,3102.01,638.55,3054.14,95.92,3866.59,4497.56,8364.15,642.95,2717.93,4497.56,3065.84,4.4,4.54,5298.65,20907.98333,43.29,0.0625
ASIANPAINT,2017q1,425.83,3241.08,644.15,3190.28,95.92,3866.59,4497.56,8364.15,648.74,2717.93,4497.56,3065.84,4.59,4.44,5783.99,22571.05,50.8,0.06
ASIANPAINT,2017q2,440.82,3320.28,644.65,3320.28,95.92,4927.83,5430.2,10358.03,650.34,2824.44,5430.2,2875.93,5.69,4.6,6128.85,25423.08333,50.8,0.06
ASIANPAINT,2017q3,400.95,3202.88,603.18,3202.88,95.92,4927.83,5430.2,10358.03,607.47,2824.44,5430.2,2875.93,4.29,4.18,6424.25,25353.35,50.8,0.06
ASIANPAINT,2017q4,473.45,3602.2,701.81,3602.2,95.92,4927.83,5430.2,10358.03,706.78,2824.44,5430.2,2875.93,4.97,4.94,6835.01,26119.75,50.8,0.06
ASIANPAINT,2018q1,528.97,3587.43,803.12,3587.43,95.92,4927.83,5430.2,10358.03,808.32,2824.44,5430.2,2875.93,5.2,5.51,7249.31,26589.46667,65.23,0.06
ASIANPAINT,2018q2,491.57,3775.35,757.85,3775.35,95.92,6086.84,5501.09,11587.93,764.45,3960.37,5501.09,3398.96,6.6,5.12,7339.56,28851.01667,65.23,0.06
